modelo,realizacion,clustering,distancia_media_CG,diametro_CG,asortatividad,fraccion_componente_gigante,componentes
"Erdos-Renyi G(n,m)",52,0.0096045197740113,5.902233250620347,15,0.04633033411523047,0.8813559322033898,18
"Erdos-Renyi G(n,m)",53,0.0030938929244013987,5.611556603773585,14,0.009644330471623705,0.903954802259887,17
"Erdos-Renyi G(n,m)",54,0.004533225719666398,5.787421383647799,14,-0.09517543859649188,0.903954802259887,18
"Erdos-Renyi G(n,m)",55,0.007909604519774011,5.756460394141554,14,0.035280200408238385,0.9152542372881356,16
"Erdos-Renyi G(n,m)",56,0.011299435028248588,5.772987097827862,14,0.004873185367399077,0.8870056497175142,18
"Erdos-Renyi G(n,m)",57,0.004331450094161958,5.622268805934048,14,-0.048315000205990534,0.8926553672316384,19
"Erdos-Renyi G(n,m)",58,0.012052730696798493,5.498266548415706,13,0.06272544699436494,0.8926553672316384,20
"Erdos-Renyi G(n,m)",59,0.0030938929244013987,5.382656053623796,13,-0.1598116023130014,0.8757062146892656,20
"Erdos-Renyi G(n,m)",60,0.011864406779661017,5.554653291935355,13,-0.11619343353465736,0.8983050847457628,17
"Erdos-Renyi G(n,m)",61,0.009685230024213076,5.45355524573022,13,-0.1251434118789177,0.8587570621468926,24
"Erdos-Renyi G(n,m)",62,0.00903954802259887,5.741594775457551,14,0.021965222589855685,0.8926553672316384,18
"Erdos-Renyi G(n,m)",63,0.015119720204465963,5.270246085011186,13,0.03385601344784961,0.847457627118644,23
"Erdos-Renyi G(n,m)",64,0.010142588108689803,5.698595459741957,12,-0.11492681625712689,0.8870056497175142,20
"Erdos-Renyi G(n,m)",65,0.00847457627118644,5.919408020857296,15,-0.03751522282081428,0.9152542372881356,15
"Erdos-Renyi G(n,m)",66,0.007532956685499058,5.511790313803736,12,-0.02492174996255051,0.8418079096045198,16
"Erdos-Renyi G(n,m)",67,0.024482109227871942,5.6010125755348685,14,-0.008495310588554638,0.8870056497175142,21
"Erdos-Renyi G(n,m)",68,0.02617702448210922,5.639882410583048,14,0.022958409655342647,0.8870056497175142,18
"Erdos-Renyi G(n,m)",69,0.010138104205900816,5.353433252004183,13,-0.08428793664262536,0.8587570621468926,20
"Erdos-Renyi G(n,m)",70,0.009227871939736346,5.560139207198031,13,-0.010560555610501201,0.8700564971751412,21
"Erdos-Renyi G(n,m)",71,0.0032015065913370997,5.630933210643356,15,-0.09171395947304711,0.9152542372881356,15
"Erdos-Renyi G(n,m)",72,0.006967984934086629,5.3762044749305895,12,-0.056295258117262034,0.8870056497175142,20
"Erdos-Renyi G(n,m)",73,0.014393327952649991,5.287925696594427,12,-0.06509978417334589,0.864406779661017,25
"Erdos-Renyi G(n,m)",74,0.012241054613935971,5.9296383647798745,15,0.06374804488785663,0.903954802259887,14
"Erdos-Renyi G(n,m)",75,0.017218186709712133,5.720518867924528,14,0.02792855794953794,0.903954802259887,18
"Erdos-Renyi G(n,m)",76,0.009792843691148774,5.714343304039345,14,0.0011795090801859085,0.8926553672316384,20
"Erdos-Renyi G(n,m)",77,0.015065913370998118,5.127063304915654,12,-0.013959861090765038,0.8418079096045198,26
"Erdos-Renyi G(n,m)",78,0.002071563088512241,5.6701406120760955,14,-0.030427171285325297,0.8813559322033898,20
"Erdos-Renyi G(n,m)",79,0.0017083669626042509,5.78659405111018,17,-0.017489678837595137,0.8757062146892656,20
