nodo,distancia,campus,capa
ODO-0B-A152,5,Campus Paraiso,acceso
ODO-0C-A153,5,Campus Paraiso,acceso
ODO-0C-A54,5,Campus Paraiso,acceso
POS-2C-A133,5,Campus Paraiso,acceso
TECMED-1A-A141,5,Campus Paraiso,acceso
QUIN-1A-A117,5,Campus Balzay,acceso
AETUCCF-2A-A79,5,Campus Central,acceso
ARQ-0A-A84,5,Campus Central,acceso
ARQ-0D-A89,5,Campus Central,acceso
ARQ-1E-A92,5,Campus Central,acceso
TECQUI-0A-A11,5,Campus Central,acceso
TECQUI-0A-A12,5,Campus Central,acceso
POST-1A-A65,5,Campus Central,acceso
MON-1B-A68,5,Campus Central,acceso
PRO-3A-A74,5,Campus Central,acceso
QUI-2A-A81,5,Campus Central,acceso
QUIN-1A-A128,6,Campus Balzay,acceso
POST-2A-A66,6,Campus Central,acceso
