ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
52,INV-1B-A62,Campus Paraiso,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
53,MON-1B-A67,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
54,ODO-0B-A52,Campus Paraiso,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
55,POS-2C-A33,Campus Paraiso,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
56,POST-1A-A65,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
57,PRO-1A-A73,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
58,QUI-2A-A82,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
59,TECMED-1A-A41,Campus Paraiso,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
60,SW-ARUBA-MUSEO,Sede Museo,acceso,Acceso,0.00722943722943723,0.016181480821202066,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,13,12,0.06818181818181818,0.3243243243243243,0.0040453702053005166,0.0,0.0,0.0,0.09729729729729729,0.10134266750259781
61,ROUTER-CAMPUS-MUSEO,Sede Museo,wan,Router WAN de campus,0.004404761904761905,0.009859075889564733,False,0.022727272727272728,0.022727272727272728,1,Campus Central,1,0,0.0,0.0,0.035,12,11,0.0625,0.2972972972972973,0.002464768972391183,0.0,0.004545454545454546,0.0,0.0891891891891892,0.09619941270703493
62,SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,Acceso,0.009650613275613283,0.021600742723971427,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,10,9,0.05113636363636364,0.24324324324324326,0.005400185680992857,0.0,0.0,0.0,0.07297297297297298,0.07837315865396584
63,HOS-0A-A10,Campus Hospitalidad,acceso,Acceso,0.0,0.0,False,0.25,0.25,1,Campus Hospitalidad,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
64,HOS-0A-A13,Campus Hospitalidad,acceso,Acceso,0.0,0.0,False,0.25,0.25,1,Campus Hospitalidad,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
65,HOS-1A-A12,Campus Hospitalidad,acceso,Acceso,0.0,0.0,False,0.25,0.25,1,Campus Hospitalidad,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
66,HOS-2A-A11,Campus Hospitalidad,acceso,Acceso,0.0,0.0,False,0.25,0.25,1,Campus Hospitalidad,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
67,AUL1-2A-A110,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
68,AUL1-2A-A111,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
69,AUL1-3A-A104,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
70,AUL1-3A-A112,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
71,AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
72,AUL2-01A-A24-SUB,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
73,AUL2-0A-A106,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
74,AUL2-0A-A118,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
