u,v,campus_u,campus_v,capa_u,capa_v,campus_resumen,capas
HOS-0A-D05,HOS-2A-A11,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,Campus Hospitalidad,acceso <-> agregacion
HOS-0A-D05,HOS-1A-A12,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,Campus Hospitalidad,acceso <-> agregacion
INV-1B-A162,INV-1B-A62,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
MON-1B-A67,MON-1B-A68,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
ODO-0B-A152,ODO-0B-A52,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
ODO-0C-A153,ODO-0C-A53,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
ODO-0C-A53,ODO-0C-A54,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
POS-2C-A133,POS-2C-A33,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
POST-1A-A64,POST-1A-A65,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
POST-1A-A65,POST-2A-A66,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
PRO-1A-A73,PRO-3A-A74,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
QUI-2A-A81,QUI-2A-A82,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
QUIN-1A-A117,QUIN-1A-A128,Campus Balzay,Campus Balzay,acceso,acceso,Campus Balzay,acceso <-> acceso
TECMED-1A-A141,TECMED-1A-A41,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
TECQUI-0A-A10,TECQUI-0A-A11,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
TECQUI-0A-A10,TECQUI-0A-A12,Campus Central,Campus Central,acceso,acceso,Campus Central,acceso <-> acceso
