source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
CC-FILOSOFIA-A-D108,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag214 0 bps,,10000,estimada_10G_troncal,False
CC-MONJAS-D126,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag213 256.51 Mbps,,10000,estimada_10G_troncal,False
CC-MONJAS-D126,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag213 0 bps,,10000,estimada_10G_troncal,False
CC-ECONOMIA-D51,DATCC-2A-C3,Campus Central,Campus Central,agregacion,core,principal,C3: lag212 346.27 Mbps,,10000,estimada_10G_troncal,False
CC-ECONOMIA-D51,DATCC-2A-C2,Campus Central,Campus Central,agregacion,core,respaldo,C2: lag212 0 bps,,10000,estimada_10G_troncal,False
POST-1A-A64,CC-FILOSOFIA-A-D108,Campus Central,Campus Central,acceso,agregacion,principal,D108: 1/1/5 200.42 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ADM-D40,TEAT-0A-A75,Campus Central,Campus Central,agregacion,acceso,principal,D40: 1/1/5 8.2 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ADM-D40,CMED-0A-A42,Campus Central,Campus Central,agregacion,acceso,principal,D40: 1/1/3 7.97 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ADM-D40,CCADM-2A-A43,Campus Central,Campus Central,agregacion,acceso,principal,D40: lag14 24.53 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ADM-D40,CCADM-2A-A44,Campus Central,Campus Central,agregacion,acceso,principal,D40: lag13 105.36 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ADM-D40,CCADM-2A-A45,Campus Central,Campus Central,agregacion,acceso,principal,D40: lag12 8.28 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-AETUC-D30,AETUC-0A-A76,Campus Central,Campus Central,agregacion,acceso,principal,D30: 1/1/1 59.19 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-AETUC-D30,AETUC-0A-A97,Campus Central,Campus Central,agregacion,acceso,principal,D30: 1/1/2 37.7 Mbps,,1000,estimada_1G_acceso_agregacion,True
AETUC-0A-A76,AETUCCF-2A-A79,Campus Central,Campus Central,acceso,acceso,principal,A76: 1/1/48 51.9 Mbps,,1000,estimada_1G_acceso,True
CC-ECONOMIA-D51,ECOK2-1A-A52,Campus Central,Campus Central,agregacion,acceso,principal,D51: lag11 36.58 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ECONOMIA-D51,ECOK1-1A-A101,Campus Central,Campus Central,agregacion,acceso,principal,D51: lag12 5.73 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ECONOMIA-D51,ECOK1-1A-A102,Campus Central,Campus Central,agregacion,acceso,principal,D51: lag13 268.16 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-FILOSOFIA-A-D108,FILOA-0B-A56,Campus Central,Campus Central,agregacion,acceso,principal,D108: lag12 39.4 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-FILOSOFIA-A-D108,FILOA-2A-A55,Campus Central,Campus Central,agregacion,acceso,principal,D108: lag11 33.78 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-FILOSOFIA-B-D111,FILOB-2A-A57,Campus Central,Campus Central,agregacion,acceso,principal,D111: lag11 99.58 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-FILOSOFIA-B-D111,FILOB-1B-A58,Campus Central,Campus Central,agregacion,acceso,principal,D111: lag12 63.51 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-JURISPRUDENCIA-D110,JUR-0A-A59,Campus Central,Campus Central,agregacion,acceso,principal,D110: 1/1/1 11.47 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-JURISPRUDENCIA-D110,JUR-0A-A60,Campus Central,Campus Central,agregacion,acceso,principal,D110: 1/1/7 4.37 Mbps,,1000,estimada_1G_acceso_agregacion,True
