nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
PRO-3A-A74,Campus Central,acceso,1,0.005681818181818182,0.0,0.15042735042735042,0.004324770226588255
PSIC-1A-A53,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.026395480240466503
PSIC-2B-A54,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.026395480240466503
QUI-0A-A78,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02714262837333685
QUI-1A-A83,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02714262837333685
QUI-2A-A81,Campus Central,acceso,1,0.005681818181818182,0.0,0.1506849315068493,0.004444070072194401
QUI-2A-A82,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.1772406847935549,0.02785173181203609
QUIN-1A-A117,Campus Balzay,acceso,2,0.011363636363636364,0.011363636363636364,0.13771517996870108,0.0002186444969224449
QUIN-1A-A128,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.12112869924294563,3.488729629010396e-05
ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,2,0.011363636363636364,0.004409271284271284,0.19555555555555557,0.015091706120748186
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,3,0.017045454545454544,0.36629779942279944,0.24209078404401652,0.013731328571009378
ROUTER-CAMPUS-MUSEO,Sede Museo,wan,2,0.011363636363636364,0.004404761904761905,0.1951219512195122,0.01455876810636304
ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,2,0.011363636363636364,0.10182251082251086,0.2349799732977303,0.025312507256201728
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,3,0.017045454545454544,0.1277922077922078,0.22420382165605096,0.021931078665411177
ROUTER-L2TP-BALZAY,Campus Balzay,wan,4,0.022727272727272728,0.014206709956709961,0.20253164556962025,0.01204596348226627
SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,2,0.011363636363636364,0.009650613275613283,0.22138364779874214,0.08253628689562784
